Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,86338,2022,4,25,24.2,1,Y
IDCJAC0010,86338,2022,4,26,23.1,1,Y
IDCJAC0010,86338,2022,4,27,22,1,Y
IDCJAC0010,86338,2022,4,28,22.4,1,Y
IDCJAC0010,86338,2022,4,29,20.8,1,Y
IDCJAC0010,86338,2022,4,30,17.9,1,Y
IDCJAC0010,86338,2022,5,1,19.3,1,Y
IDCJAC0010,86338,2022,5,2,22.1,1,Y
IDCJAC0010,86338,2022,5,3,20.7,1,Y
IDCJAC0010,86338,2022,5,4,16.4,1,Y
IDCJAC0010,86338,2022,5,5,14.1,1,Y
IDCJAC0010,86338,2022,5,6,15.2,1,Y
IDCJAC0010,86338,2022,5,7,15.3,1,Y
IDCJAC0010,86338,2022,5,8,16.3,1,Y
IDCJAC0010,86338,2022,5,9,16.6,1,Y
IDCJAC0010,86338,2022,5,10,18.4,1,Y
IDCJAC0010,86338,2022,5,11,17.5,1,Y
IDCJAC0010,86338,2022,5,12,18.1,1,Y
IDCJAC0010,86338,2022,5,13,17.9,1,Y
IDCJAC0010,86338,2022,5,14,18.5,1,Y
IDCJAC0010,86338,2022,5,15,21.8,1,Y
IDCJAC0010,86338,2022,5,16,15.9,1,Y
IDCJAC0010,86338,2022,5,17,15.6,1,Y
IDCJAC0010,86338,2022,5,18,15.4,1,Y
IDCJAC0010,86338,2022,5,19,14.7,1,Y
IDCJAC0010,86338,2022,5,20,15.8,1,Y
IDCJAC0010,86338,2022,5,21,14.9,1,Y
IDCJAC0010,86338,2022,5,22,14.3,1,Y
IDCJAC0010,86338,2022,5,23,17.1,1,Y
IDCJAC0010,86338,2022,5,24,20.8,1,Y
IDCJAC0010,86338,2022,5,25,19.6,1,Y
IDCJAC0010,86338,2022,5,26,16.3,1,Y
IDCJAC0010,86338,2022,5,27,16.6,1,Y
IDCJAC0010,86338,2022,5,28,14.6,1,Y
IDCJAC0010,86338,2022,5,29,16.5,1,Y
IDCJAC0010,86338,2022,5,30,11.7,1,Y
IDCJAC0010,86338,2022,5,31,11.4,1,Y
IDCJAC0010,86338,2022,6,1,11.9,1,N
IDCJAC0010,86338,2022,6,2,13,1,N
IDCJAC0010,86338,2022,6,3,12.6,1,N
IDCJAC0010,86338,2022,6,4,14.9,1,N
IDCJAC0010,86338,2022,6,5,13.7,1,N
IDCJAC0010,86338,2022,6,6,13.3,1,N
IDCJAC0010,86338,2022,6,7,11.9,1,N
IDCJAC0010,86338,2022,6,8,12.8,1,N
IDCJAC0010,86338,2022,6,9,13.4,1,N
IDCJAC0010,86338,2022,6,10,14.1,1,N
IDCJAC0010,86338,2022,6,11,13,1,N
IDCJAC0010,86338,2022,6,12,13.3,1,N
IDCJAC0010,86338,2022,6,13,13,1,N
IDCJAC0010,86338,2022,6,14,13.5,1,N
IDCJAC0010,86338,2022,6,15,13.8,1,N
IDCJAC0010,86338,2022,6,16,14.4,1,N
IDCJAC0010,86338,2022,6,17,13.8,1,N
IDCJAC0010,86338,2022,6,18,15.7,1,N
IDCJAC0010,86338,2022,6,19,16.2,1,N
IDCJAC0010,86338,2022,6,20,17.7,1,N
